crash_city,crash_country,lat,lon,death,airline,ori,year,dest
Kinshasa,Zaire,-4.4419311,15.2662931,45,Wigmo,Kinshasa,1972,Luluaburg
Irkutsk,Russia,52.2869741,104.3050183,4,Aeroflot,Kirensk,1978,Irkutsk
Near Albuquerque,New Mexico,35.0853336,-106.6055534,20,Military - U.S. Air Force,Kirkland AFB,1983,Nellis AFB
Townsend,Tennessee,35.6753657,-83.7557281,3,Air Transit - Air Taxi,"Knoxville, TN",1979,"Andrews, NC"
Homer,Alaska,59.6425,-151.5483333,18,Ryan Air Services,Kodiak,1972,Homer
Ouzinkie,Alaska,57.9236111,-152.5022222,4,Air Taxi,"Kodiak, AK",1971,"Ouzinkie, AK"
Near Zavitinsk,Russia,50.1265249,129.4297648,31,Aeroflot / Military - Russian Air Force,Komsomol'sk,1978,na
Near Omsk,Russia,54.9884804,73.3242362,174,Aeroflot,Krasnodar,1972,Omsk
Norilsk,Russia,69.35579,88.1892938,99,Aeroflot,Krasnoyarsk,1981,Norilsk
Mount Galunggung,Indonesia,-7.2666667,108.0716667,0,British Airways,Kuala Lampur,1983,Perth
Bombay,India,19.0759837,72.8776559,17,Air India,Kuala Lumpur,1986,Mumbai
Near Kuopio,Finland,62.89797,27.6781725,15,Military - Finish Air Force,Kuopio,1985,Helsinki
Mt. Cunatineuta,Ecuador,-1.831239,-78.183406,12,TAME,La Paz,1976,San Borja
La Verne,California,34.1008426,-117.7678355,2,Jack N. Boswick - Air Taxi,"La Verne, California",1979,"Willow Rock, Arizona"
Laboucher Bay,Alaska,64.2008413,-149.4936733,12,Webber Air - Air Taxi,"Laboucher, AK",1972,"Ketchican, AK"
Papua,New Guinea,-6.314993,143.95555,25,Military - Royal Australian Air Force,Lae,1976,Port Moresby
Lafayette,Louisiana,30.2240897,-92.0198427,2,Falcon Airways - Air Taxi,"Lafayette, LA",1973,"Patterson, LA"
Lago Agrio,Ecuador,0.1,-76.866667,7,TAME Ecuador,Lago Agrio,1980,Quito
Near Peshawar,Pakistan,34.0149748,71.5804899,13,Pakistan International Airlines,Lahore,1978,Peshawar
Lander,Wyoming,42.833014,-108.7306725,7,Denver Air Center,"Lander, WY",1980,"Riverton, WY"
